id;token;pred_tag;true_tag
0;A;O;O
0;escolha;O;O
0;da;O;O
0;medicação;O;O
0;depende;O;O
0;do;O;O
0;avanço;O;O
0;do;O;O
0;seu;O;O
0;diabetes;B-Complication;O
0;e;O;O
0;de;O;O
0;outros;O;O
0;medicamentos;O;O
0;que;O;O
0;você;O;O
0;possa;O;O
0;estar;O;O
0;tomando;O;O
0;.;O;O
0;Seu;O;O
0;médico;O;O
0;pode;O;O
0;escolher;O;O
0;um;O;O
0;meglitinida;O;B-Medication
0;,;O;O
0;como;O;O
0;Prandin;O;I-Medication
0;,;O;O
0;ou;O;O
0;um;O;O
0;inibidor;O;B-Medication
0;da;O;I-Medication
0;alfa-glucosidase;O;I-Medication
0;,;O;O
0;como;O;O
0;Precose;O;B-Medication
0;.;O;O
0;A;O;O
0;insulina;O;B-Insulin
0;seria;O;O
0;outra;O;O
0;opção;O;O
0;.;O;O
0;Sempre;O;O
0;existem;O;O
0;outros;O;O
0;remédios;O;O
0;e;O;O
0;mais;O;O
0;novos;B-NonMedicalTreatment;O
0;sendo;I-NonMedicalTreatment;O
0;desenvolvidos;I-NonMedicalTreatment;O
0;.;O;O
0;Alguns;O;O
0;médicos;O;O
0;mantêm;O;O
0;seus;O;O
0;pacientes;O;O
0;em;O;O
0;uso;O;O
0;de;O;O
0;metformina;B-Medication;B-Medication
0;se;O;O
0;os;O;O
0;exames;O;O
0;não;O;O
0;estiverem;O;O
0;muito;O;O
0;irregulares;O;O
0;.;O;O
0;Se;O;O
0;seus;O;O
0;números;O;O
0;não;O;O
0;forem;O;O
0;muito;O;O
0;altos;O;O
0;e;O;O
0;você;O;O
0;estiver;O;O
0;saudável;O;O
0;,;O;O
0;pode;O;O
0;ser;O;O
0;que;O;O
0;seu;O;O
0;médico;O;O
0;não;O;O
0;te;O;O
0;receite;O;O
0;medicamentos;O;O
0;.;O;O
0;Se;O;O
0;esse;O;O
0;for;O;O
0;o;O;O
0;caso;O;O
0;,;O;O
0;concentre-se;O;O
0;nas;O;O
0;mudanças;O;O
0;do;O;O
0;estilo;O;O
0;de;O;O
0;vida;O;O
0;,;O;O
0;como;O;O
0;alimentação;B-NonMedicalTreatment;B-NonMedicalTreatment
0;saudável;I-NonMedicalTreatment;I-NonMedicalTreatment
0;e;I-NonMedicalTreatment;O
0;exercícios;I-NonMedicalTreatment;B-NonMedicalTreatment
0;físicos;I-NonMedicalTreatment;I-NonMedicalTreatment
0;.;O;O
0;Perder;O;B-NonMedicalTreatment
0;gordura;O;I-NonMedicalTreatment
0;corporal;O;I-NonMedicalTreatment
0;,;O;O
