#FORMAT=WebAnno TSV 3.2


#Text=A atividade física promove muitos benefícios físicos e mentais, incluindo a perda de peso, por isso faz parte do tratamento básico do diabetes. Porém, sem ter uma alimentação saudável e realizar o uso adequado dos medicamentos normalmente não é possível abaixar a glicemia (quantidade de açúcar no sangue). A recomendação da Sociedade Brasileira de Diabetes é que os adultos com diabetes, se não apresentarem contraindicações, devem realizar no mínimo 150 minutos de atividades físicas por semana. Estes 150 minutos podem ser divididos em no mínimo 3 dias da semana, e com intervalos sem atividade física não ultrapassando 2 dias. É importante sempre conversar com seu médico sobre qual atividade física você deseja realizar ou está realizando, para que ele avalie se existe alguma contraindicação. Se não existir, você pode realizar a atividade física que você mais goste!
1-1	0-1	A	
1-2	2-11	atividade	
1-3	12-18	física	
1-4	19-26	promove	
1-5	27-33	muitos	
1-6	34-44	benefícios	
1-7	45-52	físicos	
1-8	53-54	e	
1-9	55-62	mentais	
1-10	62-63	,	
1-11	64-73	incluindo	
1-12	74-75	a	
1-13	76-81	perda	
1-14	82-84	de	
1-15	85-89	peso	
1-16	89-90	,	
1-17	91-94	por	
1-18	95-99	isso	
1-19	100-103	faz	
1-20	104-109	parte	
1-21	110-112	do	
1-22	113-123	tratamento	
1-23	124-130	básico	
1-24	131-133	do	
1-25	134-142	diabetes	
1-26	142-143	.	
1-27	144-149	Porém	
1-28	149-150	,	
1-29	151-154	sem	
1-30	155-158	ter	
1-31	159-162	uma	
1-32	163-174	alimentação	
1-33	175-183	saudável	
1-34	184-185	e	
1-35	186-194	realizar	
1-36	195-196	o	
1-37	197-200	uso	
1-38	201-209	adequado	
1-39	210-213	dos	
1-40	214-226	medicamentos	
1-41	227-238	normalmente	
1-42	239-242	não	
1-43	243-244	é	
1-44	245-253	possível	
1-45	254-261	abaixar	
1-46	262-263	a	
1-47	264-272	glicemia	
1-48	273-274	(	
1-49	274-284	quantidade	
1-50	285-287	de	
1-51	288-294	açúcar	
1-52	295-297	no	
1-53	298-304	sangue	
1-54	304-305	)	
1-55	305-306	.	
1-56	307-308	A	
1-57	309-321	recomendação	
1-58	322-324	da	
1-59	325-334	Sociedade	
1-60	335-345	Brasileira	
1-61	346-348	de	
1-62	349-357	Diabetes	
1-63	358-359	é	
1-64	360-363	que	
1-65	364-366	os	
1-66	367-374	adultos	
1-67	375-378	com	
1-68	379-387	diabetes	
1-69	387-388	,	
1-70	389-391	se	
1-71	392-395	não	
1-72	396-408	apresentarem	
1-73	409-425	contraindicações	
1-74	425-426	,	
1-75	427-432	devem	
1-76	433-441	realizar	
1-77	442-444	no	
1-78	445-451	mínimo	
1-79	452-455	150	
1-80	456-463	minutos	
1-81	464-466	de	
1-82	467-477	atividades	
1-83	478-485	físicas	
1-84	486-489	por	
1-85	490-496	semana	
1-86	496-497	.	
1-87	498-503	Estes	
1-88	504-507	150	
1-89	508-515	minutos	
1-90	516-521	podem	
1-91	522-525	ser	
1-92	526-535	divididos	
1-93	536-538	em	
1-94	539-541	no	
1-95	542-548	mínimo	
1-96	549-550	3	
1-97	551-555	dias	
1-98	556-558	da	
1-99	559-565	semana	
1-100	565-566	,	
1-101	567-568	e	
1-102	569-572	com	
1-103	573-583	intervalos	
1-104	584-587	sem	
1-105	588-597	atividade	
1-106	598-604	física	
1-107	605-608	não	
1-108	609-622	ultrapassando	
1-109	623-624	2	
1-110	625-629	dias	
1-111	629-630	.	
1-112	631-632	É	
1-113	633-643	importante	
1-114	644-650	sempre	
1-115	651-660	conversar	
1-116	661-664	com	
1-117	665-668	seu	
1-118	669-675	médico	
1-119	676-681	sobre	
1-120	682-686	qual	
1-121	687-696	atividade	
1-122	697-703	física	
1-123	704-708	você	
1-124	709-715	deseja	
1-125	716-724	realizar	
1-126	725-727	ou	
1-127	728-732	está	
1-128	733-743	realizando	
1-129	743-744	,	
1-130	745-749	para	
1-131	750-753	que	
1-132	754-757	ele	
1-133	758-764	avalie	
1-134	765-767	se	
1-135	768-774	existe	
1-136	775-781	alguma	
1-137	782-797	contraindicação	
1-138	797-798	.	
1-139	799-801	Se	
1-140	802-805	não	
1-141	806-813	existir	
1-142	813-814	,	
1-143	815-819	você	
1-144	820-824	pode	
1-145	825-833	realizar	
1-146	834-835	a	
1-147	836-845	atividade	
1-148	846-852	física	
1-149	853-856	que	
1-150	857-861	você	
1-151	862-866	mais	
1-152	867-872	goste	
1-153	872-873	!	
