#FORMAT=WebAnno TSV 3.2


#Text=Os exercícios físicos podem ser separados em dois grupos, os exercícios aeróbicos e os anaeróbicos (resistidos). Os aeróbicos (ex: andar, correr, nadar, pedalar, dançar) fazem com que os músculos captem mais glicose do sangue a curto e médio prazo. Eles, portanto, diminuem a quantidade de açúcar no sangue (são hipoglicemiantes). Já os anaeróbicos (ex: musculação, sprint, saltos) promovem a liberação de hormônios que aumentam a quantidade de açúcar no sangue (ação hiperglicemiante). Ao aumentar ou manter a glicemia, os exercícios anaeróbicos evitam o acontecimento de episódios de hipoglicemia.
1-1	0-2	Os	
1-2	3-13	exercícios	
1-3	14-21	físicos	
1-4	22-27	podem	
1-5	28-31	ser	
1-6	32-41	separados	
1-7	42-44	em	
1-8	45-49	dois	
1-9	50-56	grupos	
1-10	56-57	,	
1-11	58-60	os	
1-12	61-71	exercícios	
1-13	72-81	aeróbicos	
1-14	82-83	e	
1-15	84-86	os	
1-16	87-98	anaeróbicos	
1-17	99-100	(	
1-18	100-110	resistidos	
1-19	110-111	)	
1-20	111-112	.	
1-21	113-115	Os	
1-22	116-125	aeróbicos	
1-23	126-127	(	
1-24	127-129	ex	
1-25	129-130	:	
1-26	131-136	andar	
1-27	136-137	,	
1-28	138-144	correr	
1-29	144-145	,	
1-30	146-151	nadar	
1-31	151-152	,	
1-32	153-160	pedalar	
1-33	160-161	,	
1-34	162-168	dançar	
1-35	168-169	)	
1-36	170-175	fazem	
1-37	176-179	com	
1-38	180-183	que	
1-39	184-186	os	
1-40	187-195	músculos	
1-41	196-202	captem	
1-42	203-207	mais	
1-43	208-215	glicose	
1-44	216-218	do	
1-45	219-225	sangue	
1-46	226-227	a	
1-47	228-233	curto	
1-48	234-235	e	
1-49	236-241	médio	
1-50	242-247	prazo	
1-51	247-248	.	
1-52	249-253	Eles	
1-53	253-254	,	
1-54	255-263	portanto	
1-55	263-264	,	
1-56	265-273	diminuem	
1-57	274-275	a	
1-58	276-286	quantidade	
1-59	287-289	de	
1-60	290-296	açúcar	
1-61	297-299	no	
1-62	300-306	sangue	
1-63	307-308	(	
1-64	308-311	são	
1-65	312-328	hipoglicemiantes	
1-66	328-329	)	
1-67	329-330	.	
1-68	331-333	Já	
1-69	334-336	os	
1-70	337-348	anaeróbicos	
1-71	349-350	(	
1-72	350-352	ex	
1-73	352-353	:	
1-74	354-364	musculação	
1-75	364-365	,	
1-76	366-372	sprint	
1-77	372-373	,	
1-78	374-380	saltos	
1-79	380-381	)	
1-80	382-390	promovem	
1-81	391-392	a	
1-82	393-402	liberação	
1-83	403-405	de	
1-84	406-415	hormônios	
1-85	416-419	que	
1-86	420-428	aumentam	
1-87	429-430	a	
1-88	431-441	quantidade	
1-89	442-444	de	
1-90	445-451	açúcar	
1-91	452-454	no	
1-92	455-461	sangue	
1-93	462-463	(	
1-94	463-467	ação	
1-95	468-484	hiperglicemiante	
1-96	484-485	)	
1-97	485-486	.	
1-98	487-489	Ao	
1-99	490-498	aumentar	
1-100	499-501	ou	
1-101	502-508	manter	
1-102	509-510	a	
1-103	511-519	glicemia	
1-104	519-520	,	
1-105	521-523	os	
1-106	524-534	exercícios	
1-107	535-546	anaeróbicos	
1-108	547-553	evitam	
1-109	554-555	o	
1-110	556-569	acontecimento	
1-111	570-572	de	
1-112	573-582	episódios	
1-113	583-585	de	
1-114	586-598	hipoglicemia	
1-115	598-599	.	
