,File,Token ID,Token position,Token,Entity,Relation,Relation ID
0,resposta_0001.txt,1-1,0-5,Estar,Complication[1],_,_
1,resposta_0001.txt,1-2,6-11,acima,Complication[1],_,_
2,resposta_0001.txt,1-3,12-14,do,Complication[1],_,_
3,resposta_0001.txt,1-4,15-19,peso,Complication[1],_,_
4,resposta_0001.txt,1-5,20-24,pode,_,_,_
5,resposta_0001.txt,1-6,25-30,fazer,_,_,_
6,resposta_0001.txt,1-7,31-34,com,_,_,_
7,resposta_0001.txt,1-8,35-38,que,_,_,_
8,resposta_0001.txt,1-9,39-46,apareça,_,_,_
9,resposta_0001.txt,1-10,47-48,o,_,_,_
10,resposta_0001.txt,1-11,49-57,diabetes,DiabetesType[2],causes|prevents,1-1[1_2]|1-19[3_2]
11,resposta_0001.txt,1-12,58-62,tipo,DiabetesType[2],_,_
12,resposta_0001.txt,1-13,63-64,2,DiabetesType[2],_,_
13,resposta_0001.txt,1-14,64-65,.,_,_,_
14,resposta_0001.txt,1-15,66-69,Por,_,_,_
15,resposta_0001.txt,1-16,70-74,isso,_,_,_
16,resposta_0001.txt,1-17,74-75,",",_,_,_
17,resposta_0001.txt,1-18,76-77,o,_,_,_
18,resposta_0001.txt,1-19,78-83,jejum,NonMedicalTreatment[3],_,_
19,resposta_0001.txt,1-20,84-96,intermitente,NonMedicalTreatment[3],_,_
20,resposta_0001.txt,1-21,97-101,pode,_,_,_
21,resposta_0001.txt,1-22,102-105,ser,_,_,_
22,resposta_0001.txt,1-23,106-109,uma,_,_,_
23,resposta_0001.txt,1-24,110-115,forma,_,_,_
24,resposta_0001.txt,1-25,116-118,de,_,_,_
25,resposta_0001.txt,1-26,119-127,prevenir,_,_,_
26,resposta_0001.txt,1-27,128-129,o,_,_,_
27,resposta_0001.txt,1-28,130-138,diabetes,DiabetesType[4],prevents,1-19[3_4]
28,resposta_0001.txt,1-29,139-143,tipo,DiabetesType[4],_,_
29,resposta_0001.txt,1-30,144-145,2,DiabetesType[4],_,_
30,resposta_0001.txt,1-31,145-146,.,_,_,_
31,resposta_0001.txt,1-32,148-149,O,_,_,_
32,resposta_0001.txt,1-33,150-155,jejum,NonMedicalTreatment[5],_,_
33,resposta_0001.txt,1-34,156-168,intermitente,NonMedicalTreatment[5],_,_
34,resposta_0001.txt,1-35,169-175,também,_,_,_
35,resposta_0001.txt,1-36,176-180,pode,_,_,_
36,resposta_0001.txt,1-37,181-184,ser,_,_,_
37,resposta_0001.txt,1-38,185-194,utilizado,_,_,_
38,resposta_0001.txt,1-39,195-199,como,_,_,_
39,resposta_0001.txt,1-40,200-210,tratamento,_,_,_
40,resposta_0001.txt,1-41,211-215,para,_,_,_
41,resposta_0001.txt,1-42,216-223,pessoas,_,_,_
42,resposta_0001.txt,1-43,224-229,recém,_,_,_
43,resposta_0001.txt,1-44,230-244,diagnosticadas,_,_,_
44,resposta_0001.txt,1-45,245-248,com,_,_,_
45,resposta_0001.txt,1-46,249-250,o,_,_,_
46,resposta_0001.txt,1-47,251-259,diabetes,DiabetesType[6],treats|treats,1-33[5_6]|1-53[7_6]
47,resposta_0001.txt,1-48,260-264,tipo,DiabetesType[6],_,_
48,resposta_0001.txt,1-49,265-266,1,DiabetesType[6],_,_
49,resposta_0001.txt,1-50,266-267,",",_,_,_
50,resposta_0001.txt,1-51,268-271,que,_,_,_
51,resposta_0001.txt,1-52,272-280,precisam,_,_,_
52,resposta_0001.txt,1-53,281-287,perder,NonMedicalTreatment[7],_,_
53,resposta_0001.txt,1-54,288-292,peso,NonMedicalTreatment[7],_,_
54,resposta_0001.txt,1-55,293-297,para,_,_,_
55,resposta_0001.txt,1-56,298-309,estabilizar,_,_,_
56,resposta_0001.txt,1-57,310-311,o,_,_,_
57,resposta_0001.txt,1-58,312-315,seu,_,_,_
58,resposta_0001.txt,1-59,316-322,quadro,_,_,_
59,resposta_0001.txt,1-60,323-325,de,_,_,_
60,resposta_0001.txt,1-61,326-331,saúde,_,_,_
61,resposta_0001.txt,1-62,331-332,;,_,_,_
62,resposta_0001.txt,1-63,333-338,essas,_,_,_
63,resposta_0001.txt,1-64,339-346,pessoas,_,_,_
64,resposta_0001.txt,1-65,347-352,devem,_,_,_
65,resposta_0001.txt,1-66,353-356,ser,_,_,_
66,resposta_0001.txt,1-67,357-369,acompanhadas,_,_,_
67,resposta_0001.txt,1-68,370-373,por,_,_,_
68,resposta_0001.txt,1-69,374-376,um,_,_,_
69,resposta_0001.txt,1-70,377-393,endocrinologista,_,_,_
70,resposta_0001.txt,1-71,394-395,e,_,_,_
71,resposta_0001.txt,1-72,396-398,um,_,_,_
72,resposta_0001.txt,1-73,399-412,nutricionista,_,_,_
73,resposta_0001.txt,1-74,412-413,.,_,_,_
74,resposta_0002.txt,1-1,0-5,Estar,Complication[1],_,_
75,resposta_0002.txt,1-2,6-11,acima,Complication[1],_,_
76,resposta_0002.txt,1-3,12-14,do,Complication[1],_,_
77,resposta_0002.txt,1-4,15-19,peso,Complication[1],_,_
78,resposta_0002.txt,1-5,20-24,pode,_,_,_
79,resposta_0002.txt,1-6,25-30,fazer,_,_,_
80,resposta_0002.txt,1-7,31-34,com,_,_,_
81,resposta_0002.txt,1-8,35-38,que,_,_,_
82,resposta_0002.txt,1-9,39-46,apareça,_,_,_
83,resposta_0002.txt,1-10,47-48,o,_,_,_
84,resposta_0002.txt,1-11,49-57,diabetes,DiabetesType[2],causes,1-1[1_2]
85,resposta_0002.txt,1-12,58-62,tipo,DiabetesType[2],_,_
86,resposta_0002.txt,1-13,63-64,2,DiabetesType[2],_,_
87,resposta_0002.txt,1-14,64-65,.,_,_,_
88,resposta_0002.txt,1-15,66-69,Por,_,_,_
89,resposta_0002.txt,1-16,70-74,isso,_,_,_
90,resposta_0002.txt,1-17,74-75,",",_,_,_
91,resposta_0002.txt,1-18,76-77,o,_,_,_
92,resposta_0002.txt,1-19,78-83,jejum,NonMedicalTreatment[3],_,_
93,resposta_0002.txt,1-20,84-96,intermitente,NonMedicalTreatment[3],_,_
94,resposta_0002.txt,1-21,97-98,e,_,_,_
95,resposta_0002.txt,1-22,99-105,dietas,NonMedicalTreatment[4],_,_
96,resposta_0002.txt,1-23,106-114,low-carb,NonMedicalTreatment[4],_,_
97,resposta_0002.txt,1-24,115-120,podem,_,_,_
98,resposta_0002.txt,1-25,121-124,ser,_,_,_
99,resposta_0002.txt,1-26,125-128,uma,_,_,_
100,resposta_0002.txt,1-27,129-134,forma,_,_,_
101,resposta_0002.txt,1-28,135-137,de,_,_,_
102,resposta_0002.txt,1-29,138-146,prevenir,_,_,_
103,resposta_0002.txt,1-30,147-148,o,_,_,_
104,resposta_0002.txt,1-31,149-157,diabetes,DiabetesType[5],prevents|prevents,1-22[4_5]|1-19[3_5]
105,resposta_0002.txt,1-32,158-162,tipo,DiabetesType[5],_,_
106,resposta_0002.txt,1-33,163-164,2,DiabetesType[5],_,_
107,resposta_0002.txt,1-34,164-165,.,_,_,_
108,resposta_0002.txt,1-35,167-168,É,_,_,_
109,resposta_0002.txt,1-36,169-172,bom,_,_,_
110,resposta_0002.txt,1-37,173-180,lembrar,_,_,_
111,resposta_0002.txt,1-38,181-184,que,_,_,_
112,resposta_0002.txt,1-39,185-188,não,_,_,_
113,resposta_0002.txt,1-40,189-190,é,_,_,_
114,resposta_0002.txt,1-41,191-202,recomendado,_,_,_
115,resposta_0002.txt,1-42,203-208,fazer,_,_,_
116,resposta_0002.txt,1-43,209-215,dietas,_,_,_
117,resposta_0002.txt,1-44,216-224,radicais,_,_,_
118,resposta_0002.txt,1-45,225-228,sem,_,_,_
119,resposta_0002.txt,1-46,229-230,o,_,_,_
120,resposta_0002.txt,1-47,231-238,auxílio,_,_,_
121,resposta_0002.txt,1-48,239-241,de,_,_,_
122,resposta_0002.txt,1-49,242-244,um,_,_,_
123,resposta_0002.txt,1-50,245-258,nutricionista,_,_,_
124,resposta_0002.txt,1-51,258-259,.,_,_,_
125,resposta_0002.txt,1-52,260-261,A,_,_,_
126,resposta_0002.txt,1-53,262-270,consulta,_,_,_
127,resposta_0002.txt,1-54,271-274,com,_,_,_
128,resposta_0002.txt,1-55,275-277,um,_,_,_
129,resposta_0002.txt,1-56,278-291,nutricionista,_,_,_
130,resposta_0002.txt,1-57,292-296,pode,_,_,_
131,resposta_0002.txt,1-58,297-300,ser,_,_,_
132,resposta_0002.txt,1-59,301-306,feita,_,_,_
