#FORMAT=WebAnno TSV 3.2


#Text=No geral, pessoas com diabetes podem sim tomar buscopan composto. No entanto, é importante você se consultar com seu médico, para que ele possa entender o que está causando essa dor abdominal - que pode ter inúmeras motivos - e avaliar se existe algum tratamento para esse problema. Além disso, não se deve tomar medicamentos para dor de maneira indiscriminada. Devem ser tomados apenas por um curto período para alívio dos sintomas. Se a dor persistir, procure um médico!
1-1	0-2	No	
1-2	3-8	geral	
1-3	8-9	,	
1-4	10-17	pessoas	
1-5	18-21	com	
1-6	22-30	diabetes	
1-7	31-36	podem	
1-8	37-40	sim	
1-9	41-46	tomar	
1-10	47-55	buscopan	
1-11	56-64	composto	
1-12	64-65	.	
1-13	66-68	No	
1-14	69-76	entanto	
1-15	76-77	,	
1-16	78-79	é	
1-17	80-90	importante	
1-18	91-95	você	
1-19	96-98	se	
1-20	99-108	consultar	
1-21	109-112	com	
1-22	113-116	seu	
1-23	117-123	médico	
1-24	123-124	,	
1-25	125-129	para	
1-26	130-133	que	
1-27	134-137	ele	
1-28	138-143	possa	
1-29	144-152	entender	
1-30	153-154	o	
1-31	155-158	que	
1-32	159-163	está	
1-33	164-172	causando	
1-34	173-177	essa	
1-35	178-181	dor	
1-36	182-191	abdominal	
1-37	192-193	-	
1-38	194-197	que	
1-39	198-202	pode	
1-40	203-206	ter	
1-41	207-215	inúmeras	
1-42	216-223	motivos	
1-43	224-225	-	
1-44	226-227	e	
1-45	228-235	avaliar	
1-46	236-238	se	
1-47	239-245	existe	
1-48	246-251	algum	
1-49	252-262	tratamento	
1-50	263-267	para	
1-51	268-272	esse	
1-52	273-281	problema	
1-53	281-282	.	
1-54	283-287	Além	
1-55	288-293	disso	
1-56	293-294	,	
1-57	295-298	não	
1-58	299-301	se	
1-59	302-306	deve	
1-60	307-312	tomar	
1-61	313-325	medicamentos	
1-62	326-330	para	
1-63	331-334	dor	
1-64	335-337	de	
1-65	338-345	maneira	
1-66	346-360	indiscriminada	
1-67	360-361	.	
1-68	362-367	Devem	
1-69	368-371	ser	
1-70	372-379	tomados	
1-71	380-386	apenas	
1-72	387-390	por	
1-73	391-393	um	
1-74	394-399	curto	
1-75	400-407	período	
1-76	408-412	para	
1-77	413-419	alívio	
1-78	420-423	dos	
1-79	424-432	sintomas	
1-80	432-433	.	
1-81	434-436	Se	
1-82	437-438	a	
1-83	439-442	dor	
1-84	443-452	persistir	
1-85	452-453	,	
1-86	454-461	procure	
1-87	462-464	um	
1-88	465-471	médico	
1-89	471-472	!	
